{'timestamp': '2025-10-29T03:37:18.734850', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '150.171.16.39', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 33.89596939086914, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:18.734850', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '150.171.16.39', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 36.24844551086426, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:18.734850', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '150.171.16.39', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 32.355546951293945, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:18.734850', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '150.171.16.39', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 31.79645538330078, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:18.734850', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '150.171.16.39', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 31.855344772338867, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:18.734850', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '150.171.16.39', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 34.85393524169922, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:18.734850', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '150.171.16.39', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 33.41412544250488, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:18.734850', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '150.171.16.39', 'step': 'FINAL', 'response': 'REFERRAL', 'rtt': 33.41412544250488, 'total_time': 582.5204849243164, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:19.317787', 'domain': 'mobile.events.data.microsoft.com.', 'resolution_mode': 'iterative', 'server_ip': '198.41.0.4', 'step': 'TLD', 'response': 'REFERRAL', 'rtt': 156.91685676574707, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:19.317787', 'domain': 'mobile.events.data.microsoft.com.', 'resolution_mode': 'iterative', 'server_ip': '192.41.162.30', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 154.65617179870605, 'total_time': 0.0, 'cache_status': 'MISS'}
